Player,Position,Team,Shot Index,PSA Index,Passing Index,Entry Index,Danger Pass Index,Danger Shot Index,Takeaways Index,Puck Recovery Index,Archetype
Alevtina Shtaryova,F, Olympic Athletes from Russia,0.008475,0.214286,0.537778,0.290323,0.03125,0.027778,0.137931,0.315271,Dependent
Alex Carpenter,F,Olympic (Women) - United States,0.102196,0.069204,0.720256,0.158049,0.068354,0.149223,0.054237,0.438051,Balanced
Allie Olnowich,D,Metropolitan Riveters,0.200803,0.003876,0.28626,0.008602,0.003663,0.004695,0.063131,0.40911,Defensive
Allie Thunstrom,F,Minnesota Whitecaps,0.871111,0.145455,0.937205,1.130653,0.276923,0.5625,0.324503,0.836509,Shooter
Alyona Starovoitova,F, Olympic Athletes from Russia,0.008475,0,0.054444,0.032258,0,0,0,0.044335,Dependent
Alyson Matteau,D,Buffalo Beauts,0.29887,0.035311,2.891265,0.098485,0.167659,0.012931,0.514436,2.412866,Disruptor
Alyssa Wohlfeiler,F,Connecticut Whale,0.525547,0.744845,2.361192,0.82672,0.211864,0.692308,0.09697,0.607367,Shooter
Amanda Butterfield,D,St. Lawrence Saints,0.081633,0.045455,1.890625,0.021739,0.011111,0,0.189394,2.944444,Disruptor
Amanda Conway,F,Connecticut Whale,0.091241,0.041237,0.222565,0.084656,0.019068,0.104701,0.013636,0.12938,Dependent
Amanda Kessel,F,Olympic (Women) - United States,0.178215,0.360356,1.044002,0.451568,0.174201,0.189489,0.118644,0.439088,Balanced
Amanda Pelkey,F,Olympic (Women) - United States,0.025549,0,0.046731,0.04878,0.013502,0.009326,0.00339,0.029964,Dependent
Amy Curlew,F,Toronto Six,0.030682,0.012698,0.169987,0.061111,0.064599,0.078488,0.011019,0.103623,Dependent
Angelina Goncharenko,D, Olympic Athletes from Russia,0.033898,0,1.21,0.032258,0,0,0.034483,1.261084,Disruptor
Ann-Sophie Bettez,F,Olympic (Women) - Canada,0.042541,0.063852,0.4418,0.068651,0.04252,0.05473,0.055402,0.178328,Dependent
Anna Shokhina,F, Olympic Athletes from Russia,0.211864,0,1.21,0.201613,0.28125,0,0.215517,0.965517,Balanced
Annie Pankowski,F,Olympic (Women) - United States,0.168663,0.00173,0.296314,0.09878,0.075949,0.041451,0.008475,0.188958,Dependent
Annina Rajahuhta,F,Olympic (Women) - Finland,0.022727,0.005051,0.031106,0.037559,0.057692,0.008333,0.030612,0.039882,Dependent
Audra Richards,F,Minnesota Whitecaps,0.217778,0.036364,0.552953,0.246231,0.155769,0.25,0.041391,0.66967,Dependent
Autumn MacDougall,F,Buffalo Beauts,0.183051,0.069209,1.277838,0.393939,0.396825,0.206897,0.032152,0.653117,Balanced
Avery Mitchell,D,Clarkson Golden Knights,0.096257,0.018868,0.73125,0.082781,0,0,0.058442,0.4,Defensive
Bailey Bram,F,Olympic (Women) - Canada,0.003323,0.00066,0.00225,0,0,0.003378,0,0.003483,Dependent
Blayre Turnbull,F,Olympic (Women) - Canada,0.059084,0.037995,0.4356,0.22697,0.026247,0.027365,0.070914,0.418576,Dependent
Breanne Wilson-Bennett,F,Toronto Six,0.364015,0.384127,1.246864,0.315657,0.258398,0.468992,0.430441,1.158571,Balanced
Briana Mastel,D,Boston Pride,0.071915,0.014159,0.848613,0.012195,0.006545,0.000948,0.029752,1.157286,Disruptor
Brianna Decker,F,Olympic (Women) - United States,0.349301,0.571429,2.422161,0.705575,0.217601,0.166543,0.544794,0.912464,Playmaker
Brianne Jenner,F,Olympic (Women) - Canada,0.430724,0.164908,1.199025,0.403503,0.379003,0.367905,0.217175,0.882392,Balanced
Brigette Lacquette,D,Olympic (Women) - Canada,0.46322,0.151979,2.576025,0.004378,0.075853,0.001351,0.110803,1.239977,Two-Way
Brittany Colton,D,Buffalo Beauts,0.014124,0.001412,0.061,0.058275,0.003968,0.001437,0.016404,0.099141,Defensive
Brittany Howard,F,Olympic (Women) - Canada,0,0,0,0,0,0,0,0.000387,Dependent
Brooke Avery,F,Metropolitan Riveters,0,0.015504,0.249364,0.019355,0,0,0.010101,0.08344,Dependent
Brooke Boquist,F,Toronto Six,0.414205,0.171429,1.151394,0.148485,0.349806,0.284884,0.009298,0.349727,Balanced
Brooke Stacey,F,Buffalo Beauts,0.325424,0.069209,0.780455,0.308275,0.063492,0.281609,0.032152,0.333223,Dependent
Brooke White,F,Minnesota Whitecaps,0,0.002273,0.023819,0.020101,0.001923,0,0.006623,0.020855,Dependent
Cailey Hutchison,F,Metropolitan Riveters,0.032129,0.015504,0.249364,0.019355,0.003663,0.004695,0.161616,0.187739,Dependent
Carlee Turner,F,Boston Pride,0.16079,0.040455,0.36361,0.139373,0.074805,0.054841,0.115702,0.31535,Dependent
Cassidy MacPherson,F,Buffalo Beauts,0.203955,0.276836,1.365187,0.424825,0.358135,0.091954,0.262467,0.932364,Balanced
Cassidy Vinkle,F,Clarkson Golden Knights,0.171123,0.075472,0.623077,0.268212,0.216867,0.186567,0.318182,0.50625,Dependent
